iter	Passed	Remaining
0	53	53693
1	54	27084
2	55	18304
3	55	13868
4	56	11190
5	56	9400
6	57	8100
7	57	7125
8	57	6377
9	58	5766
10	58	5267
11	58	4852
12	59	4501
13	59	4208
14	60	3953
15	60	3730
16	61	3534
17	61	3361
18	61	3199
19	62	3053
20	62	2922
21	63	2802
22	63	2692
23	63	2590
24	64	2498
25	64	2414
26	64	2335
27	65	2263
28	65	2194
29	66	2140
30	66	2082
31	66	2026
32	67	1973
33	67	1924
34	68	1877
35	68	1832
36	68	1791
37	69	1752
38	69	1713
39	69	1677
40	70	1643
41	70	1610
42	71	1590
43	72	1567
44	72	1539
45	72	1512
46	73	1489
47	73	1464
48	74	1440
49	74	1418
50	75	1395
51	75	1373
52	75	1353
53	76	1333
54	77	1325
55	77	1308
56	78	1294
57	78	1275
58	78	1258
59	79	1242
60	79	1228
61	80	1216
62	80	1204
63	81	1194
64	82	1184
65	82	1172
66	83	1160
67	83	1149
68	84	1138
69	84	1127
70	85	1114
71	85	1102
72	85	1091
73	86	1079
74	86	1068
75	87	1060
76	87	1049
77	88	1042
78	89	1039
79	89	1032
80	91	1033
81	91	1025
82	91	1015
83	92	1005
84	93	1001
85	94	1008
86	95	1000
87	95	991
88	96	984
89	96	975
90	96	967
91	97	959
92	97	951
93	97	943
94	98	936
95	98	929
96	99	923
97	99	917
98	100	911
99	100	904
100	100	897
101	101	891
102	101	884
103	101	878
104	102	872
105	103	869
106	103	867
107	105	868
108	105	863
109	106	858
110	106	853
111	107	848
112	107	842
113	107	836
114	108	831
115	108	825
116	108	820
117	109	817
118	110	816
119	111	817
120	111	812
121	112	807
122	112	802
123	112	797
124	113	792
125	113	788
126	113	783
127	114	778
128	114	775
129	115	772
130	115	768
131	116	766
132	117	762
133	117	758
134	117	754
135	118	751
136	118	747
137	119	743
138	119	739
139	119	736
140	120	733
141	121	733
142	123	737
143	123	735
144	124	732
145	124	730
146	126	734
147	128	739
148	129	737
149	129	733
150	129	730
151	130	726
152	130	722
153	131	722
154	132	719
155	133	720
156	133	717
157	134	714
158	134	711
159	134	708
160	135	704
161	135	702
162	136	699
163	136	696
164	137	694
165	137	691
166	139	694
167	139	691
168	140	689
169	140	688
170	141	685
171	141	683
172	142	681
173	143	681
174	144	681
175	144	678
176	145	675
177	145	672
178	146	670
179	146	667
180	146	665
181	147	664
182	148	663
183	149	661
184	149	658
185	149	656
186	150	653
187	150	651
188	151	648
189	151	646
190	152	643
191	152	641
192	152	638
193	153	637
194	154	638
195	155	636
196	155	633
197	156	634
198	157	632
199	157	629
200	157	627
201	158	624
202	158	622
203	159	621
204	160	621
205	160	619
206	161	617
207	161	614
208	161	612
209	162	610
210	162	607
211	163	605
212	163	603
213	164	602
214	164	601
215	165	599
216	165	597
217	165	595
218	166	593
219	166	590
220	167	588
221	167	586
222	167	584
223	168	582
224	168	580
225	168	578
226	169	577
227	170	578
228	171	576
229	171	574
230	171	571
231	172	570
232	172	568
233	172	566
234	173	564
235	173	562
236	173	560
237	174	558
238	174	556
239	176	557
240	176	557
241	177	556
242	178	554
243	178	553
244	178	550
245	179	548
246	179	547
247	179	545
248	180	543
249	180	541
250	181	540
251	181	539
252	182	537
253	182	536
254	182	534
255	183	532
256	183	530
257	183	528
258	184	527
259	184	525
260	184	523
261	185	522
262	185	520
263	186	519
264	186	518
265	187	516
266	187	515
267	188	513
268	188	511
269	188	510
270	189	508
271	189	506
272	189	505
273	190	504
274	190	502
275	191	502
276	192	501
277	192	500
278	192	498
279	193	497
280	193	495
281	194	493
282	194	492
283	194	490
284	195	489
285	195	488
286	195	486
287	196	485
288	196	483
289	197	482
290	197	481
291	198	480
292	198	478
293	198	477
294	199	476
295	199	474
296	200	473
297	200	472
298	201	471
299	201	470
300	202	469
301	203	469
302	203	468
303	204	467
304	204	466
305	204	464
306	205	463
307	206	463
308	206	462
309	208	464
310	209	464
311	210	463
312	210	462
313	211	461
314	211	460
315	212	458
316	212	457
317	213	457
318	213	456
319	214	455
320	215	455
321	215	454
322	216	453
323	216	452
324	217	451
325	217	450
326	218	450
327	219	449
328	220	449
329	220	448
330	221	448
331	222	447
332	223	446
333	224	448
334	225	447
335	225	446
336	226	444
337	226	443
338	226	442
339	227	440
340	227	439
341	227	438
342	228	437
343	228	436
344	228	434
345	229	433
346	230	432
347	230	431
348	230	430
349	231	429
350	231	428
351	232	427
352	232	426
353	233	425
354	233	424
355	233	422
356	234	421
357	234	420
358	235	420
359	236	419
360	236	418
361	237	417
362	237	416
363	237	415
364	238	414
365	238	413
366	239	412
367	240	412
368	241	412
369	241	411
370	242	410
371	242	409
372	242	408
373	243	406
374	243	406
375	244	405
376	244	404
377	244	402
378	245	401
379	245	400
380	246	399
381	246	398
382	247	398
383	247	397
384	247	395
385	248	394
386	248	393
387	248	392
388	249	391
389	249	390
390	249	389
391	250	387
392	250	386
393	250	385
394	252	386
395	252	385
396	253	384
397	253	383
398	253	382
399	254	381
400	254	380
401	254	378
402	255	377
403	255	376
404	255	375
405	256	374
406	256	373
407	256	372
408	257	372
409	257	371
410	258	370
411	258	369
412	258	368
413	259	367
414	259	366
415	260	365
416	260	364
417	260	363
418	261	362
419	261	361
420	262	360
421	262	359
422	263	359
423	263	358
424	264	357
425	264	356
426	265	355
427	265	354
428	265	353
429	266	352
430	266	351
431	266	350
432	267	349
433	267	348
434	268	348
435	269	348
436	269	347
437	269	346
438	270	345
439	270	344
440	270	343
441	271	342
442	271	341
443	271	340
444	272	339
445	272	338
446	272	337
447	273	336
448	273	336
449	274	335
450	274	334
451	275	333
452	275	332
453	276	332
454	276	331
455	276	330
456	277	329
457	277	328
458	277	327
459	278	326
460	278	325
461	279	324
462	279	324
463	279	323
464	280	322
465	280	321
466	281	320
467	281	320
468	281	319
469	282	318
470	282	317
471	282	316
472	283	315
473	283	314
474	284	314
475	284	313
476	285	312
477	285	311
478	285	310
479	286	310
480	286	309
481	286	308
482	287	307
483	287	306
484	287	305
485	288	304
486	288	304
487	289	303
488	289	302
489	289	301
490	290	301
491	290	300
492	291	299
493	291	298
494	291	297
495	292	296
496	292	295
497	292	295
498	293	294
499	293	293
500	293	292
501	294	291
502	294	290
503	294	290
504	295	289
505	296	289
506	296	288
507	296	287
508	297	286
509	297	285
510	297	285
511	298	284
512	299	284
513	299	283
514	300	283
515	301	282
516	302	282
517	302	281
518	302	280
519	303	279
520	303	279
521	303	278
522	304	277
523	304	276
524	305	276
525	305	275
526	306	274
527	306	274
528	307	273
529	307	272
530	308	272
531	308	271
532	309	270
533	309	270
534	309	269
535	310	268
536	310	267
537	311	267
538	312	267
539	312	266
540	313	265
541	313	264
542	313	264
543	314	263
544	314	262
545	314	261
546	315	261
547	315	260
548	316	259
549	317	259
550	317	259
551	318	258
552	318	257
553	318	256
554	319	255
555	319	255
556	319	254
557	320	253
558	320	252
559	320	252
560	321	251
561	321	250
562	322	249
563	322	249
564	322	248
565	323	248
566	324	247
567	324	246
